Gene,gene_length
MARC1,338
MARCH1,546
MARC2,336
MARCH2,247
MARCH3,254
MARCH4,411
MARCH5,279
MARCH6,911
MARCH7,705
MARCH8,574
MARCH9,347
MARCH10,847
MARCH11,403
SEPT1,415
SEPT2,397
SEPT3,857
SEPT4,494
SEPT5,379
SEPT6,435
SEPT7,438
SEPT8,484
SEPT9,587
SEPT10,545
SEPT11,440
SEPT12,359
SEPT14,433
DEC1,71
A1BG,496
A1CF,603
A2M,1475
A2ML1,1455
A3GALT2,341
A4GALT,354
A4GNT,341
AAAS,547
AACS,673
AADAC,400
AADACL2,402
AADACL3,408
AADACL4,408
AADAT,430
AAGAB,316
AAK1,962
AAMDC,169
AAMP,436
AANAT,253
AAR2,399
AARD,156
AARS,969
AARS2,986
AARSD1,587
AASDH,1099
AASDHPPT,310
AASS,927
AATF,561
AATK,1375
ABAT,516
ABCA1,2262
ABCA10,1544
ABCA12,2596
ABCA13,5059
ABCA2,2467
ABCA3,1705
ABCA4,2274
ABCA5,1643
ABCA6,1618
ABCA7,2147
ABCA8,1622
ABCA9,1625
ABCB1,1281
ABCB10,739
ABCB11,1322
ABCB4,1287
ABCB5,1258
ABCB6,843
ABCB7,754
ABCB8,736
ABCB9,770
ABCC1,1532
ABCC10,1493
ABCC11,1383
ABCC12,1360
ABCC2,1546
ABCC3,1528
ABCC4,1326
ABCC5,1438
ABCC6,1504
ABCC8,1604
ABCC9,1550
ABCD1,746
ABCD2,741
ABCD3,660
ABCD4,607
ABCE1,600
ABCF1,846
ABCF2,624
ABCF3,710
ABCG1,825
ABCG2,656
ABCG4,647
ABCG5,652
ABCG8,674
ABHD1,406
ABHD10,307
ABHD11,316
ABHD12,405
ABHD12B,363
ABHD13,338
ABHD14A,272
ABHD14A-ACY1,510
ABHD14B,211
ABHD15,469
ABHD16A,559
ABHD16B,470
ABHD17A,362
ABHD17B,294
ABHD17C,330
ABHD18,465
ABHD2,426
ABHD3,410
ABHD4,343
ABHD5,350
ABHD6,338
ABHD8,440
ABI1,509
ABI2,514
ABI3,367
ABI3BP,1778
ABL1,1150
ABL2,1183
ABLIM1,835
ABLIM2,647
ABLIM3,684
ABO,374
ABR,872
ABRA,382
ABRACL,82
ABRAXAS1,410
ABRAXAS2,416
ABT1,273
ABTB1,479
ABTB2,1026
AC000120.3,675
AC001226.2,209
AC002094.3,452
AC002310.4,66
AC002996.1,264
AC003002.1,111
AC003002.3,179
AC003006.1,148
AC004076.1,133
AC004233.2,537
AC004593.3,544
AC004754.1,532
AC004832.3,339
AC004922.1,685
AC004997.1,383
AC005324.3,954
AC005551.1,150
AC005697.1,160
AC005702.1,55
AC005726.1,931
AC005833.1,638
AC005837.2,101
AC006059.2,739
AC006538.2,93
AC007040.2,198
AC007326.4,181
AC007906.2,53
AC007998.2,124
AC008397.1,235
AC008397.2,713
AC008403.1,135
AC008676.3,225
AC008687.4,335
AC008695.1,73
AC008764.4,63
AC008770.2,415
AC009086.2,164
AC009163.4,79
AC009477.2,57
AC009879.2,153
AC010255.3,109
AC010319.2,185
AC010422.5,52
AC010522.1,176
AC010616.1,355
AC011005.1,406
AC011195.2,341
AC011448.1,274
AC011462.1,480
AC011499.1,626
AC011530.1,659
AC011604.2,749
AC012184.2,480
AC012531.2,223
AC013394.1,140
AC013470.2,257
AC013489.1,562
AC015802.6,284
AC018554.3,342
AC018755.2,141
AC019117.2,798
AC020907.6,145
AC021072.1,173
AC021097.2,635
AC021097.3,123
AC022167.5,73
AC022414.1,886
AC023509.3,464
AC025165.3,124
AC025283.2,112
AC025287.4,401
AC026316.5,166
AC026464.4,428
AC026464.6,165
AC026786.1,359
AC034102.2,182
AC037459.1,291
AC058822.1,1090
AC067752.1,131
AC068533.4,307
AC068580.4,583
AC068775.1,111
AC068987.5,318
AC069368.1,227
AC073111.3,144
AC073111.5,204
AC073610.2,180
AC073610.3,211
AC073896.1,196
AC083800.1,82
AC084121.11,465
AC084121.12,465
AC084121.13,465
AC084121.5,465
AC084121.6,465
AC084121.7,465
AC084121.8,465
AC084121.9,465
AC087498.1,315
AC090517.4,748
AC090527.2,289
AC091959.3,1028
AC092042.3,101
AC092073.1,137
AC092143.1,798
AC092587.1,132
AC092647.5,226
AC092718.3,182
AC092718.8,198
AC092835.1,523
AC093155.3,304
AC093323.1,120
AC093512.2,419
AC093525.1,199
AC093525.2,377
AC093668.1,742
AC093668.3,264
AC093899.2,607
AC096582.3,188
AC097636.1,155
AC098582.1,78
AC099489.1,3267
AC099811.2,180
AC099850.2,992
AC100868.1,475
AC104389.5,126
AC104452.1,165
AC104662.2,482
AC106774.4,148
AC107871.1,93
AC108488.2,281
AC113348.1,214
AC114490.3,56
AC115220.1,385
AC116366.3,1313
AC118470.1,131
AC118549.1,904
AC118553.2,714
AC119396.1,383
AC126283.2,520
AC126755.2,370
AC129492.3,121
AC131097.2,96
AC131160.1,409
AC134669.1,258
AC134684.11,465
AC134684.8,465
AC134684.9,465
AC134980.3,317
AC135050.2,95
AC135068.1,314
AC136428.1,116
AC138647.1,193
AC138811.2,166
AC138894.1,370
AC139530.2,443
AC140504.1,118
AC144573.1,402
AC187653.1,234
AC233723.1,80
AC243547.3,138
AC243756.1,165
AC243967.1,152
AC245033.1,590
ACAA1,425
ACAA2,398
ACACA,2384
ACACB,2459
ACAD10,1091
ACAD11,781
ACAD8,416
ACAD9,622
ACADL,431
ACADM,455
ACADS,413
ACADSB,433
ACADVL,679
ACAN,2569
ACAP1,741
ACAP2,779
ACAP3,835
ACAT1,428
ACAT2,398
ACBD3,529
ACBD4,342
ACBD5,535
ACBD6,283
ACBD7,89
ACCS,502
ACCSL,569
ACD,545
ACE,1307
ACE2,806
ACER1,265
ACER2,276
ACER3,268
ACHE,618
ACIN1,1342
ACKR1,339
ACKR2,385
ACKR3,363
ACKR4,351
ACLY,1102
ACMSD,337
ACO1,890
ACO2,806
ACOD1,482
ACOT1,422
ACOT11,608
ACOT12,556
ACOT13,141
ACOT2,484
ACOT4,422
ACOT6,422
ACOT7,381
ACOT8,320
ACOT9,449
ACOX1,661
ACOX2,682
ACOX3,701
ACOXL,581
ACP1,159
ACP2,424
ACP4,427
ACP5,326
ACP6,429
ACP7,439
ACPP,419
ACR,422
ACRBP,544
ACRV1,266
ACSBG1,725
ACSBG2,667
