gene	gene_length
OR2T10	2
OR2M4	2
RABGGTB	9
PPOX	13
LENEP	1
COX20	5
APOBEC4	2
COLGALT2	12
CCDC24	9
TSEN15	5
CRYZ	10
SHC1	12
C1orf21	6
EDEM3	20
ITLN1	8
TYW3	10
FGR	13
FAM129A	14
ITLN2	8
RNF2	7
LHX8	10
TRMT1L	15
AL591806.3	10
F11R	10
SWT1	19
MTX1	8
AL713999.1	5
OR2T35	2
PYGO2	3
SLC6A9	9
PMVK	5
PLEKHM2	20
QSOX1	12
TOR1AIP1	10
LRRIQ3	8
LYST	53
CRP	2
C1orf43	7
IRF2BP2	2
GSTM3	8
EPS8L3	19
OR6N2	2
SIPA1L2	22
OLFM3	6
TSNAX-DISC1	6
GSTM4	8
GJA9-MYCBP	5
MYCBP	5
KLHL20	12
TENT5B	2
TNFSF18	3
FAM89A	2
METTL18	2
PLA2G2F	5
GADD45A	4
XCL2	3
XCL1	3
NPR1	22
MRPL24	6
DPT	4
MCL1	3
ADAMTSL4	20
CCDC181	6
SLC2A5	12
NME7	12
INPP5B	24
HDGF	6
CSF1	9
MAST2	29
SETDB1	22
GPN2	5
GPBP1L1	13
GNPAT	16
PINK1	8
PGBD5	7
GALNT2	16
TBX19	8
LINGO4	2
CELSR2	34
SLC35A3	17
C1orf226	3
RAB25	5
RNF223	2
CEP85	14
ICMT	5
PHC2	14
CNKSR1	21
RAB3GAP2	35
ZNF687	10
LIN28A	4
PIP5K1A	16
PAQR7	2
BTBD19	8
PLXNA2	32
FUBP1	20
DAP3	13
UBE4B	28
RBP7	4
ST6GALNAC3	5
SLC50A1	6
NMNAT1	5
OR2G6	2
OR2L13	3
DCST2	15
ZBTB7B	5
NLRP3	9
ZNF695	4
TFB2M	8
FBLIM1	6
DESI2	5
UBE2Q1	13
LRRC53	25
CLSTN1	19
AL358075.4	10
AHCYL1	17
S1PR1	2
OR10K1	2
RPS27	4
ACOT7	9
CD1A	6
GPR157	4
GNG12	4
WLS	12
MCOLN3	13
TBX15	8
SLC45A3	5
ZBTB8OS	5
AL033529.1	10
BTG2	2
EVI5	19
HIVEP3	9
AP4B1	10
PCSK9	12
IPO9	24
LAPTM5	8
NR5A2	8
KCNQ4	14
ATPAF1	9
CFHR1	6
CFH	22
PTGFR	3
FAM72B	4
ADAM30	1
WDR78	17
GPATCH4	8
S100A7	3
TTC24	11
S100A8	3
YRDC	5
RPTN	3
CRNN	3
C1orf54	8
LRRC52	2
RXRG	10
SASS6	17
LEFTY1	4
HIST2H2BF	6
TNFRSF14	8
A3GALT2	5
PI4KB	13
SLC30A10	4
SNX7	9
NBPF6	15
NRDC	33
RLF	8
ZSWIM5	14
PEX10	6
ST3GAL3	26
ANGEL2	9
L1TD1	4
VASH2	7
NSL1	6
FAAP20	18
DNTTIP2	7
YY1AP1	10
OR2G3	1
ANGPTL3	7
CD84	8
FPGT	4
TDRD10	12
ATP1A2	23
GGPS1	4
ANKRD13C	13
METTL13	8
VAMP4	8
LRRC71	15
DDI2	10
RSC1A1	10
SPRR4	2
IVL	2
LCE2A	2
LCE2B	2
FLG2	3
S100A11	3
UCK2	7
LMX1A	9
GLMP	4
OAZ3	7
RGS5	5
VHLL	1
ZNF684	6
MRPL9	7
NUF2	14
RPS6KA1	21
SARS	12
CA14	11
EFNA1	5
EFNA3	5
AL691442.1	5
OR2T8	2
TRIM58	6
B4GALT3	8
INTS11	19
KLF17	4
EFCAB2	8
RGL1	2
ARPC5	4
GLUL	8
WASF2	9
C1orf56	2
TAGLN2	5
ANGPTL1	6
FCRL6	10
HES2	4
OR10J5	1
SLC35F3	8
KIF17	15
MNDA	7
RC3H1	20
OR10T2	1
NUDC	7
SFN	1
PRRX1	4
RNF187	4
SLC27A3	10
TRMT13	11
SYPL2	6
SPRR2A	2
SPRR1B	2
LCE1D	2
AC118553.2	17
DDR2	19
UAP1	11
COQ8A	20
SLC25A44	4
ATF6	16
MSTO1	14
TRIM46	10
ASB17	3
MSH4	20
EFNA4	5
USP21	14
UFC1	6
OR2C3	1
OR13G1	2
GCSAML-AS1	1
HMCN1	107
CD244	9
ERICH3	15
COPA	33
FH	10
ACBD6	6
FPGT-TNNI3K	4
PEA15	6
BNIPL	10
CADM3	10
WDTC1	16
SRSF11	13
TARBP1	30
CACYBP	6
OR6K2	1
SPTA1	52
ZBTB37	4
CD1E	6
TRNP1	2
PRDX6	5
NR0B2	2
CD1D	7
CD5L	6
SFT2D2	8
GPR161	7
MEF2D	12
LCE1C	1
DUSP27	6
TMEM79	4
TDRKH	14
DUSP12	6
FCGR2A	7
MINOS1-NBL1	4
DNAH14	11
ZSCAN20	8
TOE1	8
KHDC4	14
C1orf115	2
PAFAH2	11
GJA5	2
BATF3	3
FAM71A	1
ATF3	4
NENF	4
USP33	25
OR2T34	1
OR2T5	1
OR2M3	2
PFDN2	4
BRINP3	8
ARHGAP30	12
ODR4	14
DOCK7	50
SRARP	2
ZBTB18	2
AKT3	18
VANGL2	8
NHLH1	2
SNHG28	5
TSPAN1	9
ETV3L	5
CCDC17	13
GOLPH3L	5
SCYL3	24
TMEM35B	3
PDE4B	17
LAMTOR5	4
PRAMEF10	4
PADI2	16
SDHB	8
IFI6	5
PARK7	7
KRTCAP2	5
CLCNKB	20
OR2T4	1
OR2L3	3
OR2L2	3
OR2G2	1
ACAP3	24
FLAD1	7
AHCTF1	36
PTGS2	10
SPEN	15
UQCRHL	1
MT1HL1	1
CEP350	38
FAM163A	5
LYSMD1	3
OR10R2	1
RPE65	14
EXTL2	5
DARS2	17
FASLG	4
FCRL3	16
TRIM67	10
FOXD3	1
FAM131C	7
OR2M2	3
ZNF124	4
NMNAT2	11
DHX9	28
DPH2	6
IL6R	10
TDRD5	18
ATP1A4	22
AXDND1	26
GNG4	4
PRUNE1	8
RNPC3	16
APCS	2
TMEM201	11
IFI16	11
MRPS14	3
SLC30A7	12
KIRREL1	15
VCAM1	9
TAF5L	5
FMO1	8
AMPD2	18
MROH9	22
HIST3H2A	1
OBSCN	116
DIRAS3	4
BLZF1	7
ISG20L2	3
CHTOP	6
S100A4	3
IQGAP3	38
TM2D1	7
LPAR3	2
BMP8B	7
TSPAN2	8
ATP2B4	21
GNB1	11
PABPC4	16
PUM1	22
TMEM183A	8
CYP4Z1	12
KDM5B	28
DCLRE1B	4
SHISA4	5
BRDT	19
LEXM	10
SRRM1	17
CITED4	1
ATP1B1	7
SNAPIN	4
NAXE	6
MAEL	12
FLG	3
TADA1	8
RORC	11
CDC42BPA	36
BGLAP	4
EPHA10	17
KIAA1324	22
SH3BP5L	7
SUSD4	8
CASP9	9
RIT1	6
MEAF6	8
ZMPSTE24	10
LYPLAL1	5
ISG15	2
FAM102B	11
SLC2A7	12
TMCO2	2
HPDL	1
SPATA17	11
DPYD	23
FHAD1	31
GRIK3	16
NBPF4	15
AK5	14
PKLR	11
OR2T1	1
OR2T6	3
OR2T12	3
OR2L5	2
AC118470.1	3
GCSAML	1
KIF26B	15
SDCCAG8	18
CD48	3
CD164L2	6
